FlowId,Environment,FlowType,FlowDirectionType,QueueName,QueueManagerName,UseSSL,ApplicationName
net.apmoller.smq.rr.gleo3.GLEO3_GCSS_VV_RQ1114_GCSSEDUA_Reply, PP, Reply, Source, SMQ.GLEO.GQ.VV.RQ1114.RESP.RCV,GCSSEDUA,FALSE,        GCSS
net.apmoller.smq.rr.gleo3.GLEO3_GCSS_VV_RQ1114_GCSSEDUA_Reply, PP, Reply, Destination, IIB.GLEO3.GCSSEXP.GENQRY.REPLY.RCV,RQ1114,TRUE,        GLEO3
net.apmoller.smq.rr.gleo3.GLEO3_GCSS_VV_RQ1114_GCSSEDUA_Request, PP, Request, Source, IIB.GLEO.GCSS.GQ.VV.REQ.RCV,RQ1114,TRUE,        GLEO3
net.apmoller.smq.rr.gleo3.GLEO3_GCSS_VV_RQ1114_GCSSEDUA_Request, PP, Request, Destination, SMQ.GLEO.GQ.VV.REQ,GCSSEDUA,FALSE,        GCSS
net.apmoller.smq.feed.gleo3.AMPS_GLEO3_EDI_Inbound_RQ1107_Feed, PP, Feed, Source, SMQ.GLEO.EDI.IN.FEED.RCV,EDIPP,FALSE,        AMPS
net.apmoller.smq.feed.gleo3.AMPS_GLEO3_EDI_Inbound_RQ1107_Feed, PP, Feed, Destination, IIB.AMPS.GLEO.EDI.IN.EVENT,RQ1107,TRUE,        GLEO3
net.apmoller.smq.feed.gleo3.AMPS_GLEO3_EDI_Inbound_RQ1114_Feed, PP, Feed, Source, SMQ.GLEO.EDI.IN.FEED.RCV,EDIPP,FALSE,        AMPS
net.apmoller.smq.feed.gleo3.AMPS_GLEO3_EDI_Inbound_RQ1114_Feed, PP, Feed, Destination, IIB.AMPS.GLEO.EDI.IN.EVENT,RQ1114,TRUE,        GLEO3
net.apmoller.smq.feed.gleo3.GLEO3_AMPS_EDI_ENTERPRISE_Outbound_RQ1107_EDIPPB_Feed, PP, Feed, Source, IIB.GLEO.EDI.ENTERPRISE.FEED.RCV,RQ1107,TRUE,        GLEO3
net.apmoller.smq.feed.gleo3.GLEO3_AMPS_EDI_ENTERPRISE_Outbound_RQ1107_EDIPPB_Feed, PP, Feed, Destination, SMQ.GLEO.EDI.ENTERPRISE.EVENT,EDIPPB,FALSE,        AMPS
net.apmoller.smq.feed.gleo3.GLEO3_AMPS_EDI_ENTERPRISE_Outbound_RQ1107_EDIPP_Feed, PP, Feed, Source, IIB.GLEO.EDI.ENTERPRISE.FEED.RCV,RQ1107,TRUE,        GLEO3
net.apmoller.smq.feed.gleo3.GLEO3_AMPS_EDI_ENTERPRISE_Outbound_RQ1107_EDIPP_Feed, PP, Feed, Destination, SMQ.GLEO.EDI.ENTERPRISE.EVENT,EDIPP,FALSE,        AMPS
net.apmoller.smq.feed.gleo3.GLEO3_AMPS_EDI_ENTERPRISE_Outbound_RQ1114_EDIPPB_Feed, PP, Feed, Source, IIB.GLEO.EDI.ENTERPRISE.FEED.RCV,RQ1114,TRUE,        GLEO3
net.apmoller.smq.feed.gleo3.GLEO3_AMPS_EDI_ENTERPRISE_Outbound_RQ1114_EDIPPB_Feed, PP, Feed, Destination, SMQ.GLEO.EDI.ENTERPRISE.EVENT,EDIPPB,FALSE,        AMPS
net.apmoller.smq.feed.gleo3.GLEO3_AMPS_EDI_ENTERPRISE_Outbound_RQ1114_EDIPP_Feed, PP, Feed, Source, IIB.GLEO.EDI.ENTERPRISE.FEED.RCV,RQ1114,TRUE,        GLEO3
net.apmoller.smq.feed.gleo3.GLEO3_AMPS_EDI_ENTERPRISE_Outbound_RQ1114_EDIPP_Feed, PP, Feed, Destination, SMQ.GLEO.EDI.ENTERPRISE.EVENT,EDIPP,FALSE,        AMPS
net.apmoller.smq.feed.gleo3.GLEO3_SRM_SHOPPING_CART_Outbound_RQ1107_FADAQM_Feed, PP, Feed, Source, SMQ.GLEO.TO.FACT.IDD272.SHOPPINGCART.FEED.RCV,RQ1107,TRUE,        GLEO3
net.apmoller.smq.feed.gleo3.GLEO3_SRM_SHOPPING_CART_Outbound_RQ1107_FADAQM_Feed, PP, Feed, Destination, SMQ.GLEO.TO.FACT.IDD272.SHOPPINGCART.FEED.EVENT,FADAQM,FALSE,        FACT 
net.apmoller.smq.feed.gleo3.GLEO3_SRM_SHOPPING_CART_Outbound_RQ1114_FADAQM_Feed, PP, Feed, Source, SMQ.GLEO.TO.FACT.IDD272.SHOPPINGCART.FEED.RCV,RQ1114,TRUE,        GLEO3
net.apmoller.smq.feed.gleo3.GLEO3_SRM_SHOPPING_CART_Outbound_RQ1114_FADAQM_Feed, PP, Feed, Destination, SMQ.GLEO.TO.FACT.IDD272.SHOPPINGCART.FEED.EVENT,FADAQM,FALSE,        FACT 
